,Contrast,dissimilarity,homogeneity,energy,correlation,ASM
0,0.420983870967742,0.28098387096774197,0.8733509487666035,0.5205631344775649,0.7178441082822417,0.27098597697710725
1,0.35609677419354846,0.23051612903225807,0.8971975332068313,0.5640883690392204,0.7783618674842038,0.3181956880853278
2,0.423241935483871,0.28156451612903227,0.8732351992409867,0.510099496655342,0.7448579732833578,0.2602014964880333
3,0.3976129032258065,0.2648064516129032,0.8807658444022771,0.5239499358237768,0.7559286930984933,0.2745235352497398
4,0.3976129032258065,0.2648064516129032,0.8807658444022771,0.5239499358237768,0.7559286930984933,0.2745235352497398
5,0.3437096774193549,0.27825806451612906,0.8673751423149908,0.44409369441287244,0.8219730003644924,0.19721920941727375
6,0.3468548387096774,0.26688709677419353,0.8744644212523719,0.50612058526227,0.7339306426471053,0.2561580468262227
7,0.3003548387096774,0.2620322580645161,0.872779696394687,0.5374160725076932,0.7721723486453083,0.2888160349895942
8,0.40101612903225803,0.2923709677419355,0.8646425996204934,0.4456044831002052,0.7857035916740164,0.19856335535900102
9,0.14870967741935484,0.13751612903225807,0.932283870967742,0.5066572236469873,0.9264117270181198,0.25670154227367326
10,0.14870967741935484,0.13751612903225807,0.932283870967742,0.5066572236469873,0.9264117270181198,0.25670154227367326
11,0.3468548387096774,0.26688709677419353,0.8744644212523719,0.50612058526227,0.7339306426471053,0.2561580468262227
12,0.17762903225806453,0.14330645161290323,0.9316241935483871,0.508120025769433,0.9369097899390232,0.25818596058792925
13,0.3003548387096774,0.2620322580645161,0.872779696394687,0.5374160725076932,0.7721723486453083,0.2888160349895942
14,0.40101612903225803,0.2923709677419355,0.8646425996204934,0.4456044831002052,0.7857035916740164,0.19856335535900102
15,0.14870967741935484,0.13751612903225807,0.932283870967742,0.5066572236469873,0.9264117270181198,0.25670154227367326
16,0.3468548387096774,0.26688709677419353,0.8744644212523719,0.50612058526227,0.7339306426471053,0.2561580468262227
17,0.4009516129032257,0.2923387096774193,0.8646555028462997,0.4456151743206322,0.7857373607845817,0.1985728835848074
18,0.3003064516129032,0.2620806451612903,0.8727458254269449,0.5373250968970862,0.7722367356060906,0.288718259755463
19,0.17762903225806453,0.14330645161290323,0.9316241935483871,0.508120025769433,0.9369097899390232,0.25818596058792925
20,0.4009354838709678,0.2923225806451613,0.8646635673624288,0.4456066837439655,0.7857699052209017,0.19856531659729448
21,0.3467096774193548,0.2667741935483871,0.8745176470588234,0.5061654405170086,0.7340748813258735,0.2562034531737774
22,0.35609677419354846,0.23051612903225807,0.8971975332068313,0.5641011347892784,0.7783581155750102,0.3182100902705516
23,0.42335483870967755,0.2815806451612904,0.8732368121442127,0.5100900841916404,0.7448003295310187,0.2601918939906348
24,0.17762903225806453,0.14330645161290323,0.9316241935483871,0.508120025769433,0.9369097899390232,0.25818596058792925
25,0.262241935483871,0.21953225806451612,0.8944365275142316,0.5125078290562132,0.8215692614928468,0.2626642748439126
26,0.1256935483870968,0.10543548387096774,0.9492761859582544,0.697149384219619,0.8540227482590962,0.486017263917794
27,0.1318709677419355,0.10412903225806451,0.950709677419355,0.7834095400326396,0.6889059866873448,0.613730507414152
28,0.262241935483871,0.21953225806451612,0.8944365275142316,0.5125078290562132,0.8215692614928468,0.2626642748439126
29,0.1318709677419355,0.10412903225806451,0.950709677419355,0.7834095400326396,0.6889059866873448,0.613730507414152
30,0.1256935483870968,0.10543548387096774,0.9492761859582544,0.697149384219619,0.8540227482590962,0.486017263917794
31,0.22201612903225806,0.19072580645161288,0.9077092030360532,0.5410445169806628,0.830596575669915,0.2927291693548387
32,0.17361290322580647,0.13970967741935486,0.9335149905123342,0.7579025053371007,0.6663370578019449,0.574416207596254
33,0.1256935483870968,0.10543548387096774,0.9492761859582544,0.697149384219619,0.8540227482590962,0.486017263917794
34,0.15243548387096775,0.1387258064516129,0.9319875711574952,0.583810416237309,0.867742818062933,0.34083460210718003
35,0.10654838709677421,0.08296774193548387,0.9607284629981024,0.7313042160411657,0.9048289485965851,0.5348058563995839
36,0.1256935483870968,0.10543548387096774,0.9492761859582544,0.697149384219619,0.8540227482590962,0.486017263917794
37,0.19433870967741934,0.17279032258064517,0.9157027514231499,0.47323100850319294,0.9262864770464306,0.22394758740894904
38,0.262241935483871,0.21953225806451612,0.8944365275142316,0.5125078290562132,0.8215692614928468,0.2626642748439126
39,0.1256935483870968,0.10543548387096774,0.9492761859582544,0.697149384219619,0.8540227482590962,0.486017263917794
40,0.262241935483871,0.21953225806451612,0.8944365275142316,0.5125078290562132,0.8215692614928468,0.2626642748439126
41,0.19433870967741934,0.17279032258064517,0.9157027514231499,0.47323100850319294,0.9262864770464306,0.22394758740894904
42,0.15243548387096775,0.1387258064516129,0.9319875711574952,0.583810416237309,0.867742818062933,0.34083460210718003
43,0.10654838709677421,0.08296774193548387,0.9607284629981024,0.7313042160411657,0.9048289485965851,0.5348058563995839
44,0.1256935483870968,0.10543548387096774,0.9492761859582544,0.697149384219619,0.8540227482590962,0.486017263917794
45,0.17361290322580647,0.13970967741935486,0.9335149905123342,0.7579025053371007,0.6663370578019449,0.574416207596254
46,0.22201612903225806,0.19072580645161288,0.9077092030360532,0.5410445169806628,0.830596575669915,0.2927291693548387
